Job Title,Company,Location,Country,Flag,Tier,Search Keyword,Posted Date,Crawl Date,Source,Easy Apply,Remote / Workplace,Match Score,Visa Sponsorship Mentioned,Required Skills,Resume File Path,Applied Status,Notes,Job URL,City,City Openings
Cloud & Infrastructure Engineer,Khan Cloud Solutions Ltd,Hybrid work in Birmingham B21 9LR,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=2044b73ce5afe52f,Hybrid work in Birmingham B21 9LR,1
Platform Engineer,Experian Information Solutions,Hybrid work in Nottingham,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=f3f234a2935198fb,Hybrid work in Nottingham,1
IT Cloud & Infrastructure Engineer,University of Exeter,Hybrid work in Exeter EX4 4QJ,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=0136aef0a486f851,Hybrid work in Exeter EX4 4QJ,1
Cloud Infrastructure Engineer,Julian Hodge Bank,Cardiff,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=58032127800551fd,Cardiff,2
AWS Cloud Engineer,Sopra Steria,Hemel Hempstead HP2 7AH,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,AWS,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=f3a363a49f209e1d,Hemel Hempstead HP2 7AH,1
"Senior Infrastructure Engineer, PostgreSQL",Laravel,Remote in London,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,Remote,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=debc53f17345500a,Remote in London,1
Senior Solutions Architect - Microsoft Solutions,UBDS Group,Hybrid work in Manchester,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,80%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=ec9b393b9d2fb061,Hybrid work in Manchester,1
Staff Solutions Architect,Transforming Learning Group,Remote,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,Remote,80%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=66931242590441f4,Unknown,16
Staff Solutions Architect,Transforming Learning Group,Remote,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,Remote,80%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=123456789abcdef0,Unknown,16
Senior Cloud Infrastructure Manager,Cloud-Ex Technology Solutions Ltd.,London,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=966a4fc2db967c61,London,21
Principal Cloud Platform Engineer,Anna Cloud Technologies Ltd,Edinburgh,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=eb32e6350e7692da,Edinburgh,2
Infrastructure Architect,Halma plc,Hybrid work in London EC2M 2PF,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=f12b631036cafa02,Hybrid work in London EC2M 2PF,1
Azure Infrastructure Engineer,Audiebant Ltd,Preston PR4 2SH,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,Azure,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=f6c3c3e42cf51256,Preston PR4 2SH,1
ICT Cloud Engineer,Cheshire West and Chester Council,Ellesmere Port,United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-11,2026-08-11,Indeed,No,On-site / Hybrid,90%,Not Specified,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=8a3718683c7c9e0c,Ellesmere Port,2
